label,latlog,distance_miles
new_york_ny,"40.7128,-74.0060",10
brooklyn_ny,"40.6782,-73.9442",10
los_angeles_ca,"34.0522,-118.2437",10
chicago_il,"41.8781,-87.6298",10
houston_tx,"29.7604,-95.3698",10
phoenix_az,"33.4484,-112.0740",10
philadelphia_pa,"39.9526,-75.1652",10
san_antonio_tx,"29.4241,-98.4936",10
san_diego_ca,"32.7157,-117.1611",10
dallas_tx,"32.7767,-96.7970",10
san_jose_ca,"37.3382,-121.8863",10
austin_tx,"30.2672,-97.7431",10
jacksonville_fl,"30.3322,-81.6557",10
fort_worth_tx,"32.7555,-97.3308",10
columbus_oh,"39.9612,-82.9988",10
charlotte_nc,"35.2271,-80.8431",10
san_francisco_ca,"37.7749,-122.4194",10
indianapolis_in,"39.7684,-86.1581",10
seattle_wa,"47.6062,-122.3321",10
denver_co,"39.7392,-104.9903",10
washington_dc,"38.9072,-77.0369",10
boston_ma,"42.3601,-71.0589",10
nashville_tn,"36.1627,-86.7816",10
portland_or,"45.5152,-122.6784",10
las_vegas_nv,"36.1699,-115.1398",10
detroit_mi,"42.3314,-83.0458",10
memphis_tn,"35.1495,-90.0490",10
louisville_ky,"38.2527,-85.7585",10
milwaukee_wi,"43.0389,-87.9065",10
albuquerque_nm,"35.0844,-106.6504",10
tucson_az,"32.2226,-110.9747",10
fresno_ca,"36.7378,-119.7871",10
sacramento_ca,"38.5816,-121.4944",10
kansas_city_mo,"39.0997,-94.5786",10
atlanta_ga,"33.7490,-84.3880",10
miami_fl,"25.7617,-80.1918",10
raleigh_nc,"35.7796,-78.6382",10
omaha_ne,"41.2565,-95.9345",10
minneapolis_mn,"44.9778,-93.2650",10
new_orleans_la,"29.9511,-90.0715",10
salt_lake_city_ut,"40.7608,-111.8910",10
oklahoma_city_ok,"35.4676,-97.5164",10
richmond_va,"37.5407,-77.4360",10
birmingham_al,"33.5186,-86.8104",10
boise_id,"43.6150,-116.2023",10
des_moines_ia,"41.5868,-93.6250",10
spokane_wa,"47.6588,-117.4260",10
charleston_sc,"32.7765,-79.9311",10
burlington_vt,"44.4759,-73.2121",10
billings_mt,"45.7833,-108.5007",10
anchorage_ak,"61.2181,-149.9003",10
little_rock_ar,"34.7465,-92.2896",10
hartford_ct,"41.7658,-72.6734",10
wilmington_de,"39.7391,-75.5398",10
honolulu_hi,"21.3069,-157.8583",10
wichita_ks,"37.6872,-97.3301",10
baltimore_md,"39.2904,-76.6122",10
portland_me,"43.6591,-70.2568",10
jackson_ms,"32.2988,-90.1848",10
fargo_nd,"46.8772,-96.7898",10
manchester_nh,"42.9956,-71.4548",10
newark_nj,"40.7357,-74.1724",10
providence_ri,"41.8240,-71.4128",10
sioux_falls_sd,"43.5446,-96.7311",10
charleston_wv,"38.3498,-81.6326",10
cheyenne_wy,"41.1400,-104.8202",10
buffalo_ny,"42.8864,-78.8784",10
pittsburgh_pa,"40.4406,-79.9959",10
cleveland_oh,"41.4993,-81.6944",10
cincinnati_oh,"39.1031,-84.5120",10
grand_rapids_mi,"42.9634,-85.6681",10
madison_wi,"43.0731,-89.4012",10
st_louis_mo,"38.6270,-90.1994",10
tulsa_ok,"36.1540,-95.9928",10
el_paso_tx,"31.7619,-106.4850",10
tampa_fl,"27.9506,-82.4572",10
orlando_fl,"28.5383,-81.3792",10
savannah_ga,"32.0809,-81.0912",10
greenville_sc,"34.8526,-82.3940",10
asheville_nc,"35.5951,-82.5515",10
knoxville_tn,"35.9606,-83.9207",10
lexington_ky,"38.0406,-84.5037",10
colorado_springs_co,"38.8339,-104.8214",10
reno_nv,"39.5296,-119.8138",10
eugene_or,"44.0521,-123.0868",10
tacoma_wa,"47.2529,-122.4443",10
bakersfield_ca,"35.3733,-119.0187",10
oakland_ca,"37.8044,-122.2712",10
santa_fe_nm,"35.6870,-105.9378",10
provo_ut,"40.2338,-111.6585",10
chattanooga_tn,"35.0456,-85.3097",10
dayton_oh,"39.7589,-84.1916",10
ann_arbor_mi,"42.2808,-83.7430",10
columbia_mo,"38.9517,-92.3341",10
athens_ga,"33.9519,-83.3576",10
gainesville_fl,"29.6516,-82.3248",10
college_station_tx,"30.6280,-96.3344",10
bloomington_in,"39.1653,-86.5264",10
iowa_city_ia,"41.6611,-91.5302",10
lawrence_ks,"38.9717,-95.2353",10
chapel_hill_nc,"35.9132,-79.0558",10
ithaca_ny,"42.4440,-76.5019",10
champaign_il,"40.1164,-88.2434",10
lincoln_ne,"40.8136,-96.7026",10
norman_ok,"35.2226,-97.4395",10
tuscaloosa_al,"33.2098,-87.5692",10
oxford_ms,"34.3665,-89.5192",10
fayetteville_ar,"36.0626,-94.1574",10
bozeman_mt,"45.6770,-111.0429",10
flagstaff_az,"35.1983,-111.6513",10
bend_or,"44.0582,-121.3153",10
duluth_mn,"46.7867,-92.1005",10
missoula_mt,"46.8721,-113.9940",10
casper_wy,"42.8666,-106.3131",10
bismarck_nd,"46.8083,-100.7837",10
rapid_city_sd,"44.0805,-103.2310",10
amarillo_tx,"35.2220,-101.8313",10
roswell_nm,"33.3943,-104.5230",10
key_west_fl,"24.5551,-81.7800",10
bangor_me,"44.8012,-68.7778",10
traverse_city_mi,"44.7631,-85.6206",10
green_bay_wi,"44.5133,-88.0133",10
santa_barbara_ca,"34.4208,-119.6982",10
boulder_co,"40.0150,-105.2705",10
mobile_al,"30.6954,-88.0399",10
shreveport_la,"32.5252,-93.7502",10
augusta_ga,"33.4735,-82.0105",10
new_haven_ct,"41.3083,-72.9279",10
trenton_nj,"40.2206,-74.7597",10
dover_de,"39.1582,-75.5244",10
hilo_hi,"19.7297,-155.0900",10
juneau_ak,"58.3019,-134.4197",10
morgantown_wv,"39.6295,-79.9559",10
laramie_wy,"41.3114,-105.5911",10
grand_forks_nd,"47.9253,-97.0329",10
aberdeen_sd,"45.4647,-98.4865",10
topeka_ks,"39.0473,-95.6752",10
salem_or,"44.9429,-123.0351",10
fort_collins_co,"40.5853,-105.0844",10
lubbock_tx,"33.5779,-101.8552",10
corpus_christi_tx,"27.8006,-97.3964",10
tallahassee_fl,"30.4383,-84.2807",10
